Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
0,0,0,0,0,1941
1,0,0,0,0,1955
2,0,0,0,0,1964
3,0,0,0,0,1969
4,0,0,0,0,1976
5,2.6636853206963855,496.6653641385384,7.095219487693406,70,1981
6,2.5892627503822334,476.00399292670477,6.704281590516969,71,1987
7,2.540769528547479,464.7967053980673,6.455509797195379,72,1996
8,2.4174112127976746,420.7591419667146,5.843876971759925,72,2011
9,2.4066216273507415,411.21976366349554,5.791827657232331,71,2019
10,2.345648314227839,401.6508190249129,5.502066014039903,73,2020
11,2.395298338360861,436.0465138613269,5.737454129754301,76,2019
12,2.3145124228500618,401.77258166454465,5.356967755527262,75,2020
13,2.386864824990753,461.4670191150292,5.697123692778138,81,2005
14,2.4260957046585094,482.6471101893225,5.88594036816247,82,2000
15,2.4495531597838687,720.0372819128561,6.000310682607134,120,1976
16,2.365221756997571,676.9071491327359,5.594273959774677,121,1963
17,2.318165960178417,671.7366773662401,5.373893418929921,125,1952
18,2.3520233077520274,697.0337186663074,5.532013640208789,126,1949
19,2.316629065103311,697.6801292865872,5.36677022528144,130,1944
20,2.346950384587783,721.5710701108934,5.508176107716744,131,1918
21,2.2666121390201375,688.4290988929613,5.137530588753442,134,1902
22,2.2903075521770626,718.6346896476226,5.245508683559289,137,1882
23,2.292120905605053,709.2654631980832,5.253818245911727,135,1882
24,2.300775386144555,778.154404490828,5.293567377488626,147,1865
25,2.4143179367725596,967.6025625704036,5.828931099821709,166,1853
26,2.3833302149052,942.923643604491,5.680262913280066,166,1822
27,2.3732715277444822,963.1434342928493,5.632417744402628,171,1803
28,2.365135643381079,978.9266570285353,5.59386661159163,175,1775
29,2.4228439753617175,1056.6311272103826,5.87017292894657,180,1769
30,2.4158176853579567,1073.8562163554427,5.836175088888275,184,1755
31,2.3339242424505606,1034.9684502047005,5.447202369498424,190,1743
32,2.3843469485343327,1119.9667430840416,5.685110370984983,197,1730
33,2.319746362528815,1076.2446372931336,5.381223186465668,200,1733
34,2.3448890344103916,1099.7009167396197,5.498504583698098,200,1719
35,2.353837110740892,1263.2452048094349,5.54054914390103,228,1714
36,2.3538911521768537,1257.7624072793,5.540803556296476,227,1704
37,2.2768215377407626,1176.7490034414877,5.18391631472021,227,1679
38,2.304316132115052,1253.1299894672588,5.309872836725673,236,1678
39,2.3015335445982323,1260.6994843447949,5.297056656910903,238,1680
40,2.2607782268557557,1242.0017204190885,5.111118191025056,243,1673
41,2.288465527355368,1272.6090961842133,5.237074469893882,243,1670
42,2.307151632516784,1309.445369234516,5.322948655424861,246,1671
43,2.316023334491887,1335.6270573918187,5.3639640859109186,249,1663
44,2.312809271608921,1331.9225949832064,5.349086726840186,249,1665
45,2.2917281021508296,1376.028635877215,5.252017694187844,262,1679
46,2.264421815200315,1358.8156316460984,5.127606157155088,265,1684
47,2.312058867098856,1416.5882943065683,5.3456162049304465,265,1695
48,2.330179628923878,1455.1695436178884,5.4297371030518224,268,1686
49,2.2957458887249924,1423.0212801113803,5.2704491855977045,270,1680
50,2.295381694026545,1443.6449312285752,5.268777121272172,274,1691
51,2.2875347429987785,1444.2569953177106,5.232815200426487,276,1691
52,2.2896400594901776,1467.8864485662116,5.242451602022184,280,1704
53,2.285362063996778,1457.1834540320162,5.222879763555614,279,1705
54,2.2740930049321118,1448.0197186227251,5.171498995081161,280,1719
55,2.226281592844888,1392.7286543098319,4.956329730639971,281,1732
56,2.1976052396021215,1366.7396673228557,4.8294687891266985,283,1750
