Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
0,0,0,0,0,41
1,0,0,0,0,44
2,0,0,0,0,45
3,0,0,0,0,45
4,0,0,0,0,46
5,5.680024234531322,2258.387271340419,32.26267530486313,70,46
6,5.692074549733224,2300.379600260169,32.399712679720686,71,48
7,5.8222794640956375,2440.7235473781448,33.898938158029786,72,48
8,5.33799372328217,2051.580743265589,28.494176989799843,72,48
9,5.2306990078978295,1942.5750598968568,27.360212111223337,71,50
10,5.24512309993462,2008.3260923431462,27.511316333467757,73,52
11,5.264867594275975,2106.631139679554,27.71883078525729,76,52
12,5.352471523117631,2148.6713554338885,28.64895140578518,75,53
13,8.319260426314726,5606.017617308548,69.21009404084627,81,52
14,8.215789075759536,5534.933591264319,67.49919013736975,82,49
15,8.242572965864245,8152.801091711531,67.94000909759609,120,48
16,8.1095721738829,7957.5844620533135,65.76516084341581,121,46
17,8.39906890188666,8818.044802329945,70.54435841863956,125,48
18,7.515916689354109,7117.614463845264,56.48900368131162,126,48
19,7.306681546405218,6940.387378675212,53.387595220578554,130,49
20,7.507180921905153,7382.867266642387,56.3577653942167,131,48
21,7.268677710923882,7079.71253914774,52.833675665281646,134,48
22,7.403700934559791,7509.625891391008,54.81478752840152,137,48
23,6.869462659928064,6370.584826879703,47.189517236145946,135,50
24,6.828111869838164,6853.5974209326505,46.62311170702483,147,51
25,6.996954468276861,8126.923723969162,48.95737183113953,166,54
26,7.0882238055493,8340.324175114263,50.2429167175558,166,56
27,6.998963393052345,8376.518546716043,48.9854885772868,171,56
28,6.932806783636941,8411.166732367417,48.063809899242386,175,58
29,6.921539507148846,8623.387646824012,47.90770914902229,180,56
30,6.988114072142325,8985.40784449034,48.83373828527359,184,57
31,6.947653839415499,9171.279835745536,48.26989387234492,190,56
32,6.909807200289542,9405.85080239912,47.745435545173194,197,55
33,6.930192712011797,9605.514205124286,48.02757102562143,200,54
34,6.921062918483641,9580.222384321858,47.90111192160929,200,52
35,7.564813816778305,13047.621042814548,57.226408082519946,228,52
36,7.441352373205205,12569.835607280927,55.37372514220673,227,52
37,7.652776220160586,13294.251339819162,58.56498387585534,227,51
38,7.412376399708315,12966.624438264864,54.94332389095281,236,55
39,7.442628484714981,13183.467065234814,55.39271876149081,238,57
40,7.7227136090088955,14492.594233285401,59.6403054867712,243,53
41,7.029147203816635,12006.365230340341,49.40891041292321,243,55
42,7.255803455999552,12951.084212855381,52.64668379209505,246,54
43,7.246471438790103,13075.325729986975,52.5113483132007,249,54
44,7.362526600171953,13497.492686621656,54.20679793823958,249,55
45,7.243639492765746,13747.222032502768,52.470313101155604,262,55
46,7.253978617917022,13944.354534137296,52.62020578919734,265,56
47,7.237082117097698,13879.469755948052,52.37535756961529,265,58
48,7.319975502121812,14359.98708224581,53.58204135166347,268,58
49,7.289938985769792,14348.666812386504,53.14321041624631,270,57
50,7.287633384847968,14552.03049643448,53.109600351950654,274,57
51,7.272571466663347,14597.721623612339,52.890295737725864,276,56
52,7.404884268614377,15353.04708884035,54.83231103157268,280,52
53,7.345415219148511,15053.4798029339,53.95512474169857,279,50
54,7.33282226578158,15055.67906683179,53.77028238154211,280,53
55,7.110719186386745,14208.013984689247,50.56232734764857,281,52
56,7.1378346756334095,14418.477531438939,50.9486838566747,283,51
57,7.24837077681607,15078.658249523744,52.5388789182012,287,53
58,7.240036553242573,14939.166848302248,52.41812929228859,285,54
59,7.086697520098882,14513.950423257562,50.22128174137565,289,52
60,7.041041419290522,14228.387844963265,49.576264268164685,287,51
61,7.092275290081229,14587.106949186067,50.30036879029678,290,51
62,6.960424783106404,14001.33130361045,48.44751316128183,289,51
63,6.987717778205339,14355.490725867008,48.828199747846966,294,49
64,7.224747473960628,15398.107938437637,52.19697606250047,295,48
65,6.870547026084257,13878.098432664756,47.204416437635224,294,49
66,7.005275504904934,14476.796045388219,49.07388489962108,295,49
67,6.834676034418537,14200.690134618353,46.71279649545511,304,49
68,6.892680813288871,14490.259882133565,47.50904879388054,305,50
69,6.983229183374439,14775.943417742328,48.765489827532434,303,50
70,7.054955018217486,15280.123824885131,49.77239030907209,307,50
71,6.759996145977133,13892.054559662207,45.69754789362568,304,50
72,6.965020268833612,14941.544262341018,48.51150734526305,308,48
73,6.968710569828134,15151.633225882719,48.56292700603436,312,48
74,6.922716619750622,14952.289683979901,47.92400539737148,312,49
75,6.690457090089662,13921.049199116951,44.76221607433103,311,53
76,6.814803131292599,14536.202557820206,46.44154171827542,313,51
77,6.79629364439143,14457.347085148944,46.189607300795345,313,49
78,6.339516784858417,12579.305069502001,40.1894730655016,313,47
79,6.488521315884507,13093.382657539853,42.100908866687625,311,46
80,6.534834376240638,13323.666821367668,42.70406032489637,312,46
81,6.594153563587877,13827.549868016828,43.482861220178705,318,46
82,6.598143916416595,13800.754495933268,43.53550314174532,317,45
83,6.470140593427666,13270.4820176944,41.862719298720506,317,46
84,6.441486420263079,13236.186389476334,41.49274730243365,319,45
85,6.5540939046676145,13874.835452317982,42.95614691120118,323,43
86,6.669869864888122,14191.405320639122,44.4871640145427,319,46
87,6.556716980375406,13885.94363212005,42.99053756074319,323,42
88,6.544351539750641,13833.617475495219,42.82853707583659,323,43
89,6.55417261325856,14175.868952648218,42.95717864438854,330,45
90,6.657572931693222,14538.034967787085,44.323277340814286,328,45
91,6.697592422811738,15027.344327805245,44.85774426210521,335,44
92,6.690559026295996,14995.799328257528,44.76358008435083,335,43
93,6.967681079444578,16409.419913199286,48.54857962484996,338,44
94,6.9753739085557065,16494.330154650143,48.65584116415971,339,44
95,7.051065760741754,16953.6771715459,49.71752836230469,341,43
96,7.050078025131828,16899.224054551876,49.7036001604467,340,45
97,7.036398385638789,16784.19585984143,49.51090224142015,339,45
98,6.876873619520976,16126.364255592462,47.29139077886352,341,47
99,6.501633670359854,14414.492970792919,42.27124038355694,341,50
100,6.49249994176448,14247.563756908381,42.152555493811775,338,48
101,6.414741743099482,14114.076689317399,41.14891163066297,343,50
102,6.5513765414542435,14592.981759891769,42.92053458791697,340,52
103,6.476451750750126,14638.605120648233,41.94442727979437,349,52
104,6.47900495946975,14734.104347956598,41.97750526483361,351,54
105,6.5253667954385035,14945.72454706899,42.58041181501137,351,55
106,6.774876022580213,16110.529737587633,45.89894512133229,351,53
107,6.754274750483324,16012.699819160816,45.62022740501657,351,53
108,6.810832473092071,16281.991080760434,46.38743897652545,351,51
109,6.7907357395252355,16186.046251306936,46.114091884065346,351,53
110,6.762956950073589,16008.15534799203,45.737586708548655,350,51
111,6.767207628355347,16119.874878015322,45.7950990852708,352,50
112,6.797023490251726,16216.034442788847,46.199528327033754,351,53
113,6.844819373838869,16444.894843428454,46.85155226047993,351,53
114,6.92702958528509,17034.227300772298,47.98373887541492,355,53
115,6.84135040365829,16521.838597009315,46.804075345635454,353,54
116,6.852528777070408,16716.74562804579,46.957150640578064,356,54
117,6.69714528059931,15922.372992856031,44.85175490945361,355,55
118,6.74452314613295,16193.938918865426,45.488592468723105,356,54
119,6.797397780476258,16495.04812121041,46.204616586023555,357,53
120,6.756679722870205,16298.021353248001,45.65272087744538,357,53
121,6.748783873032244,16442.136239128937,45.546083764900104,361,49
122,6.775342236045584,16571.799732011088,45.90526241554318,361,49
123,6.771098239503256,16551.045464210478,45.84777136900409,361,47
124,6.9329218913076796,17255.480736399397,48.06540595097325,359,48
125,6.725447545438485,16328.623731806483,45.231644686444554,361,50
126,6.904869495025615,17402.18630131738,47.677222743335285,365,48
127,6.964656681119225,17607.83869496669,48.50644268585865,363,52
128,7.045676127912763,18168.808068394963,49.64155209943979,366,52
129,7.061511651937615,18350.30042624586,49.864946810450704,368,48
130,7.101936202734352,18460.12420494143,50.437497827708825,366,49
131,7.102470694592783,18664.683287993237,50.445089967549286,370,48
132,6.901007622309123,17525.59748276605,47.623906203168616,368,48
133,6.926571350820088,17655.679769504597,47.97739067800162,368,48
134,6.9974134659502205,18214.531819407668,48.963795213461474,372,48
135,6.983135926657447,18091.513514334536,48.76418737017395,371,47
136,6.845266819752703,17337.340798434692,46.857677833607276,370,46
137,8.736600858699699,28470.41657245866,76.32819456423233,373,47
138,8.733469148852308,28602.556265233143,76.27348337395505,375,44
139,8.576044134330916,27580.69987274689,73.5485329939917,375,45
140,8.506194215484493,27133.252511828192,72.35534003154184,375,44
141,8.242309091005842,25340.00086357573,67.93565915167756,373,46
142,8.210030394597661,25344.129254161755,67.40459908021744,376,47
143,8.250625762403226,25663.455202654397,68.07282547123182,377,51
144,7.58084433189547,21723.357896515172,57.46920078443167,378,54
145,8.323368749677842,26256.53912304009,69.27846734311369,379,53
146,8.189679155320395,25285.708439492693,67.07084466708937,377,49
147,8.298898854033201,25964.63926543154,68.87172218947357,377,49
148,8.523356413072408,27678.737331364027,72.64760454426253,381,47
149,8.64663739858686,28485.212893306194,74.76433830264092,381,45
150,8.652277011498617,28447.52104380883,74.86189748370744,380,45
151,8.58315956046444,28142.179911429783,73.6706280403921,382,47
152,8.58764287330924,28024.091845409614,73.74761011949899,380,49
153,8.742949358721658,29199.76045286349,76.43916348917145,382,49
154,8.595866433944328,28521.123023581367,73.88891975021079,386,46
155,8.551736301489669,28155.894601533237,73.1321937702162,385,43
156,8.512790284635873,27900.025395623503,72.46759843019092,385,43
157,8.538197418303167,28066.813834258763,72.90081515391887,385,41
158,8.934077903534552,30729.83297477337,79.81774798642434,385,40
159,8.737985070222502,29242.96272248621,76.35238308743135,383,42
160,8.66884329445972,28857.15612053731,75.14884406389925,384,40
161,8.652942217667677,29050.882700650705,74.87340902229563,388,42
162,8.698247965802162,29355.892857737606,75.65951767458147,388,38
163,8.749628974379306,29703.73078944757,76.55600718929786,388,37
164,8.866752161215642,30347.04744093099,78.61929388842225,386,38
165,8.975238327009231,31335.857277353418,80.55490302661546,389,39
166,9.032134434314955,31571.24809410118,81.57945243953793,387,38
167,8.8029463133764,30221.826880512996,77.49186379618716,390,40
168,8.856004333964588,30587.236977647834,78.42881276319957,390,39
169,8.793136639093607,30463.785269785545,77.31925195377042,394,39
170,8.61838634328527,29264.973765877658,74.27658316212603,394,39
171,8.568947086662247,28783.32683621482,73.4268541740174,392,40
172,9.500655540016949,35473.14508619151,90.26245569005472,393,36
173,9.440024342820026,35200.05353924869,89.11405959303467,395,36
174,9.25462716474554,33745.36083962775,85.64812395844606,394,36
175,9.30600965707767,34294.31903209865,86.60181573762284,396,34
176,8.96960090736629,31618.319991908487,80.45374043742618,393,35
177,9.006571460659421,31717.266825102226,81.11832947596477,391,37
178,9.070896950139892,32418.781563142533,82.2811714800572,394,39
179,8.875673447862033,31117.143765467827,78.77757915308311,395,40
180,8.993648165230464,32111.625806021453,80.88570731995328,397,40
181,9.050203549921505,32516.755165119688,81.90618429501181,397,38
182,8.911308718498443,31526.33496132538,79.41142307638636,397,37
183,8.701948285502137,29986.66596956722,75.72390396355358,396,37
184,8.595923793491608,29334.29262781551,73.88990586351514,397,36
185,8.143833763935758,26329.84526472416,66.32202837462005,397,37
186,8.261294391960726,27231.345027226056,68.24898503064175,399,38
187,8.27708079377352,27404.026586661792,68.51006646665448,400,38
188,8.301718810341281,27705.251152801655,68.91853520597427,402,36
189,8.268376497745784,27346.419963389933,68.36604990847484,400,36
190,8.204561258938524,27060.559831573304,67.31482545167489,402,35
191,8.133387492139716,26659.252815209795,66.15199209729478,403,33
192,7.952807385035571,25615.093847907912,63.24714530347633,405,34
193,7.973848452026095,25623.650431759215,63.58225913587895,403,31
194,8.01139027154218,25929.679129516106,64.18237408296066,404,32
195,7.8848398442910215,25489.986741748897,62.17069937011926,410,32
196,7.649364966937422,23873.216034143094,58.51278439740954,408,31
197,9.009875899205664,33039.39053366844,81.17786371908707,407,30
198,9.053817583451238,33444.41803643961,81.9716128344108,408,30
199,9.080990799615114,33563.00831839659,82.46439390269433,407,29
200,9.057353543276426,33388.51085561612,82.03565320790202,407,28
201,8.995590312023175,33096.543830261966,80.9206450617652,409,27
202,8.973005490577984,33252.623771518316,80.51482753394265,413,26
203,9.0973022984559,34097.4945531103,82.76090910949102,412,23
204,9.009666823292736,33606.07585443112,81.17409626674183,414,24
205,9.008987087938804,33601.00521716831,81.1618483506481,414,21
206,8.929697715530029,32693.19552920431,79.73950129074221,410,20
207,8.840080694321603,32587.310126443008,78.14702668211753,417,21
208,9.086598972603248,34512.70541156622,82.56628088891439,418,18
209,9.110078957319164,34774.292676998964,82.99353860858942,419,19
210,9.101512850821152,34543.2525844173,82.83753617366258,417,17
211,7.126384678081819,21532.992037919706,50.78535857999931,424,17
212,7.072369841277465,21257.82644801969,50.01841517181103,425,18
213,7.083230889961813,21323.16793221642,50.172159840509224,425,17
214,7.1110268903839495,21490.84896019954,50.56670343576362,425,18
215,7.100200682073162,21425.46113342768,50.41284972571219,425,18
216,7.106562907977654,21160.85603695336,50.50323636504382,419,17
217,7.134746758588424,21227.222915931405,50.90461130918802,417,17
218,7.068145164845441,21032.60262602908,49.95867607132798,421,17
219,7.121449062860399,21300.315437064404,50.715036754915246,420,17
220,7.278971871999311,22200.05780409665,52.98343151335716,419,17
221,7.39354344256852,22904.419062964993,54.66448463714796,419,17
222,8.845926525635013,32630.42351242112,78.25041609693314,417,16
223,8.656101963039518,31544.730602899912,74.92810119453661,421,15
224,8.62366882375921,31308.78653637004,74.36766398187658,421,15
225,8.614560328485823,31168.472854311134,74.21064965312175,420,16
226,8.630582317617268,31284.519479290502,74.48695114116786,420,16
227,9.170218141236825,35150.832516789225,84.09290075786896,418,12
228,9.274511716115343,36298.99151553624,86.01656757236076,422,12
229,9.45879180449348,37666.34055071702,89.46874240075302,421,12
230,9.727878561765406,40029.17581516846,94.631621312455,423,10
231,9.785471308046768,40408.79936009596,95.75544872060654,422,12
232,9.749189324545263,40204.750921504965,95.04669248582734,423,13
233,9.737340715858759,40296.71679210633,94.81580421672078,425,12
234,9.462146795719098,37872.12989912083,89.53222198373719,423,11
235,9.40982218243134,37631.52023961518,88.5447535049769,425,11
236,9.145323909900712,35545.7035022257,83.63694941700165,425,11
237,10.391714826584971,46110.76371482715,107.98773703706593,427,10
238,10.533249456167255,47264.42058909115,110.94934410584776,426,10
239,10.595258208506033,48047.06450410339,112.25949650491447,428,10
240,10.525356321746218,47415.17779948148,110.78312569972307,428,11
241,11.116333883131468,52642.04645453537,123.57287900125674,426,10
242,11.107163367140718,52801.965411542966,123.36907806435272,428,10
243,10.838751317103915,50045.85382857331,117.47853011402185,426,10
244,10.775393019824882,49810.80163989535,116.10909473169079,429,9
245,10.743557573256235,49632.33261184469,115.42402932987137,430,8
246,10.870941053377532,50698.087176597866,118.17735938600902,429,6
247,10.906680794901378,51031.98927764247,118.95568596187056,429,6
248,10.879604562786382,51134.023631204174,118.36579544260225,432,6
249,10.858375637557037,50934.66688207822,117.90432148629218,432,5
250,10.897398060942017,51301.41890340506,118.75328449862282,432,6
251,9.002587676488872,35012.124665079544,81.04658487286932,432,7
252,8.917782807185214,34355.599284727374,79.52685019612818,432,7
253,8.78860957258991,33367.53235078902,77.23965821941903,432,6
254,8.572496684068524,31599.710741297316,73.48769939836585,430,6
255,8.616865140122693,32224.658341888764,74.25036484306167,434,6
256,8.734886889990554,32884.54531078033,76.29824898092885,431,7
257,8.784127324392824,33256.34481884333,77.16089285114462,431,7
258,9.908942187974603,42318.655307672474,98.18713528462291,431,6
259,9.891554124265532,42072.42248710802,97.84284299327447,430,6
260,9.844108249874502,41863.593845626805,96.90646723524723,432,6
261,9.864884583648825,42040.48947064369,97.31594784871224,432,6
262,9.66931425829652,40390.11571350084,93.49563822569638,432,6
263,9.739509605755654,40978.676459782066,94.85804736060663,432,7
264,9.91861037587443,42499.65533259048,98.3788317884039,432,6
265,10.028304522055462,43444.8971656177,100.56689158707802,432,6
266,10.162651425513703,44306.89863449666,103.27948399649571,429,6
267,9.837839144621476,41519.940906206604,96.78307903544663,429,6
268,9.803570950378303,41231.191449634476,96.11000337910134,429,5
269,9.793699691860773,41148.201517717775,95.91655365435379,429,5
270,9.870629286253058,41797.179355347085,97.42932250663657,429,5
271,9.946655864428282,42443.528077821815,98.93596288536554,429,5
272,9.922323505733745,42236.12410979521,98.45250375243639,429,6
273,10.660611285369843,48755.26354745683,113.64863297775484,429,5
274,10.520089211057465,47478.406836692695,110.67227700860768,429,5
275,11.184798479442822,53667.778604045234,125.09971702574647,429,5
276,11.352177368297609,55157.186468551445,128.87193100128843,428,4
277,10.211182129876542,44626.8069295103,104.26824048951003,428,4
278,10.27067723196326,45042.86821295295,105.4868108031685,427,4
279,10.220368251339096,44811.5927657885,104.45592719298018,429,4
280,10.168228458279144,44355.54122131611,103.39286997975783,429,4
281,10.179835749342528,44456.86497406103,103.62905588359214,429,4
282,10.437561504632457,46627.47138975774,108.94269016298537,428,4
283,10.696454668677868,48969.25298104648,114.41414247908055,428,4
284,10.511021165435357,47286.110222418465,110.48156594023006,428,4
285,10.176201811734629,44321.57565802868,103.55508331315113,428,4
286,10.421367751310875,45831.27025100229,108.60490580806228,422,4
287,10.356372597748,45261.37932778875,107.25445338338567,422,4
288,10.241276668050062,44156.05782024111,104.88374779154658,421,3
