Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
0,0,0,0,0,606
1,0,0,0,0,614
2,0,0,0,0,620
3,0,0,0,0,629
4,0,0,0,0,634
5,2.458803170683806,423.19991225153154,6.045713032164737,70,641
6,2.3536079381122126,393.3023931704822,5.53947032634482,71,657
7,2.340124796214855,394.2852524538923,5.476184061859616,72,668
8,2.245287731287904,362.9748237315827,5.041316996271982,72,685
9,2.300751461117948,375.8354672943824,5.2934572858363715,71,691
10,2.3503834914795814,403.27408666244156,5.524302557019747,73,700
11,2.284107231419053,396.5030841911817,5.217145844620812,76,713
12,2.263812841908399,384.36364373920367,5.124848583189382,75,720
13,2.2826520228336418,422.0505208450678,5.210500257346516,81,719
14,2.3047969601455556,435.59130025468784,5.312089027496193,82,718
15,2.3202373500049225,646.0201632429437,5.383501360357864,120,723
16,2.274705254347227,626.0883632927407,5.174283994154882,121,731
17,2.2823234324016375,651.1250312611991,5.209000250089592,125,727
18,2.3103968891840125,672.5796569794466,5.337933785551163,126,732
19,2.296108948532742,685.3751194591774,5.272116303532134,130,739
20,2.317758122723076,703.7323557237926,5.372002715448798,131,740
21,2.244323922321598,674.9566423528701,5.0369898683050005,134,745
22,2.351163834471639,757.3320785842512,5.527971376527382,137,737
23,2.357273769723164,750.1598494323556,5.556739625424856,135,745
24,2.380851991518081,833.263062210795,5.6684562055156125,147,747
25,2.4588961353585956,1003.6642539439188,6.046170204481438,166,758
26,2.4453322829101043,992.6218956578288,5.979649973842342,166,756
27,2.4032878836880585,987.6605434717924,5.775792651881827,171,763
28,2.3657175837743374,979.4084450813405,5.596619686179088,175,771
29,2.3156790848624813,965.2265323325169,5.362369624069538,180,784
30,2.323451360314595,993.3104251695843,5.398426223747741,184,787
31,2.3107700506112483,1014.535063092363,5.339658226801911,190,791
32,2.308750919573727,1050.0751693006084,5.33033080863253,197,795
33,2.278175018490402,1038.0162829747487,5.1900814148737435,200,803
34,2.2687771024119474,1029.4699080857506,5.147349540428753,200,819
35,2.2415094164748535,1145.55509782516,5.024364464145438,228,825
36,2.271425118297929,1171.1774594438907,5.159372068034761,227,827
37,2.235441658074641,1134.3642653107984,4.9971994066555,227,833
38,2.255040711443237,1200.109232022875,5.085208610266419,236,833
39,2.2957575379293735,1254.3796361643701,5.270502672959538,238,838
40,2.301206655184153,1286.819152976912,5.295552069863835,243,848
41,2.3001289661449205,1285.6141623984327,5.2905932608989,243,848
42,2.2542149979850157,1250.0453732565834,5.081485257140583,246,844
43,2.2472901330705697,1257.5279226068885,5.0503129421963395,249,845
44,2.2186501778639043,1225.679744322148,4.922408611735534,249,854
45,2.2539811528570564,1331.0729318079243,5.080431037434826,262,852
46,2.2790557298882086,1376.4351802831131,5.194095019936276,265,861
47,2.2829647497202648,1381.1609328433074,5.211928048465311,265,865
48,2.3069516540761574,1426.3029503775845,5.322025934244718,268,869
49,2.2606801619390833,1379.8821945379282,5.110674794584919,270,872
50,2.260855581566134,1400.5422212314554,5.111467960698742,274,873
51,2.2192984600223635,1359.378840685507,4.925285654657634,276,884
52,2.164206313876757,1311.4609113267256,4.68378896902402,280,887
53,2.2181637281267386,1372.7498406128143,4.920250324777112,279,896
54,2.1151599685116693,1252.6924738704,4.473901692394286,280,902
55,2.0971078813057034,1235.7990718994934,4.397861465834496,281,912
56,2.126379081598202,1279.5811036203309,4.521487998658413,283,914
57,2.108228381917398,1275.6079232624286,4.444626910322051,287,916
58,2.15300836586915,1321.1018316982256,4.635445023502546,285,918
59,2.1367463489315455,1319.482953345292,4.56568495967229,289,917
60,2.060502008967375,1218.506867811115,4.245668528958588,287,914
61,2.067045736747918,1239.0766425642455,4.272678077807743,290,918
62,2.077837534080816,1247.7311484121287,4.317408818035047,289,920
63,2.086694720849414,1280.1626882581193,4.354294858020814,294,911
