Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
9,18.690795173033088,349,68,23
10,9.814878157151927,96,110,345
11,9.367244532233126,87,110,345
12,9.070257195595412,82,110,369
14,7.767865202602654,60,110,166
15,9.047936312974551,81,110,202
16,8.64405787286082,74,110,202
17,10.264051236807001,105,44,64
18,10.007220915553155,100,110,268
19,11.18276124263484,125,36,35
20,10.842521669632934,117,36,35
21,9.823876604486616,96,110,253
22,9.159736736726865,83,36,50
23,10.089468716852192,101,36,50
26,8.923510380870296,79,110,125
27,8.699545395382785,75,110,243
28,8.284151331080091,68,110,243
29,19.1384970717972,366,68,13
30,8.646426516754325,74,110,235
31,7.034392617375216,49,36,119
32,11.70060544759329,136,91,119
33,8.37554521204291,70,110,355
35,7.840772036876218,61,110,108
36,7.110086248494598,50,110,260
37,6.304859880524797,39,110,260
38,9.578457884681693,91,110,83
39,7.532310672237848,56,110,217
40,6.598636195625772,43,36,67
41,6.2127187028801805,38,36,67
42,7.0039883958292455,49,110,225
43,5.2009357411387205,27,36,59
44,5.743038881207839,32,36,59
48,9.452616822862431,89,110,98
49,7.5039492697034635,56,110,270
50,7.189027773899284,51,110,270
51,10.3492659468088,107,110,85
52,7.9382320808334415,63,110,283
53,8.16740026658958,66,110,283
55,9.96853498615153,99,110,97
56,9.02893901723496,81,110,271
57,8.82792675924144,77,110,271
59,9.84981041578996,97,110,202
60,12.760302237988837,162,91,165
61,12.721544697052803,161,91,165
62,9.927701223876678,98,110,183
63,12.394453192398926,153,91,184
64,12.45921846498784,155,91,184
68,10.580855307182535,111,110,157
69,11.710510081698603,137,110,201
70,11.787493234864892,138,110,201
71,10.441055728062038,109,110,191
72,13.144055847474316,172,91,167
73,13.003307162692092,169,91,167
74,11.336452253930844,128,44,56
75,11.85005650959968,140,110,197
76,8.85935862286255,78,53,114
77,8.604292612564869,74,53,114
78,11.510068967844846,132,110,275
79,12.140400385595656,147,36,36
80,12.051391353859687,145,36,36
82,11.885871379101998,141,110,226
83,8.93483412503187,79,53,142
84,8.66535614681441,75,53,142
85,11.49737216077104,132,110,196
86,9.282349975234832,86,53,172
87,9.017314917661908,81,53,172
92,19.601653629554896,384,68,22
93,11.122879395504679,123,110,206
94,9.404216831770299,88,53,139
95,9.301359649725123,86,53,139
96,11.10530921202699,123,110,219
