Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
9,3.6872060618916973,13,83,23
10,5.613100530193412,31,66,345
11,4.769570927374939,22,67,345
12,2.7273824425403355,7,32,369
14,4.97897273242893,24,192,166
15,5.281838101041472,27,38,202
16,5.840299039097849,34,53,202
17,6.952786536926378,48,201,64
18,7.750327091673933,60,114,268
19,2.558898306768274,6,33,35
20,3.239538144330066,10,46,35
21,7.202051747969621,51,110,253
22,4.168962109764614,17,46,50
23,4.180397208401016,17,46,50
26,3.892913293723228,15,169,125
27,7.069281615341569,49,128,243
28,6.459717364576761,41,128,243
29,2.6163650396448834,6,66,13
30,5.472677138069251,29,111,235
31,5.990843084422767,35,53,119
32,6.221126389945657,38,59,119
33,3.9272338634708808,15,44,355
35,4.431749233367699,19,119,108
36,5.62228053609951,31,86,260
37,6.694062247139211,44,128,260
38,4.5672106088850875,20,119,83
39,6.793320667557166,46,119,217
40,5.4266679931688175,29,72,67
41,5.39431569123033,29,72,67
42,6.449169966015654,41,119,225
43,4.525021856248385,20,53,59
44,4.139049844932959,17,53,59
48,6.065497587563456,36,234,98
49,6.861267370414743,47,119,270
50,5.862536179417167,34,119,270
51,5.459749207604816,29,127,85
52,5.507365251669111,30,119,283
53,4.801803235087358,23,119,283
55,4.736043484536891,22,107,97
56,7.759695318462521,60,119,271
57,6.63095740509371,43,119,271
59,5.042349560900896,25,161,202
60,6.086007797241705,37,62,165
61,6.02735293041025,36,62,165
62,3.5061169632033127,12,57,183
63,11.665178646684751,136,195,184
64,8.442593836899205,71,115,184
68,4.6508408748271695,21,186,157
69,5.0664258311478125,25,62,201
70,5.133348414878407,26,62,201
71,2.691091569180617,7,39,191
72,5.368856958735508,28,62,167
73,5.4537707179402855,29,62,167
74,2.7862750060825032,7,34,56
75,5.479995847870598,30,121,197
76,2.436714064123352,5,40,114
77,3.696354409120971,13,57,114
78,5.37656047951955,28,94,275
79,3.2958276760899228,10,66,36
80,2.9576293215216003,8,62,36
82,6.445588623805667,41,124,226
83,6.62878760913305,43,73,142
