Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
9,6.4384826989245285,41,26,23
10,4.4128961831192575,19,30,345
11,5.353808695506484,28,30,345
12,5.1662574360209,26,26,369
14,3.859477016928954,14,26,166
15,10.869215622413142,118,80,202
16,11.147204368014313,124,80,202
17,7.757628562474396,60,70,64
18,4.674821152471485,21,30,268
19,19.226417595126115,369,43,35
20,19.112953679495945,365,43,35
21,5.353001308343229,28,30,253
22,18.033001613118774,325,43,50
23,18.570663250057923,344,43,50
26,7.256650592366939,52,70,125
27,5.114145180439908,26,21,243
28,5.691540235595447,32,21,243
29,5.232364528323811,27,17,13
30,7.483349862444782,56,70,235
31,11.396491342791006,129,80,119
32,11.967402442655624,143,80,119
33,4.546043151919632,20,26,355
35,3.171409266854189,10,26,108
36,8.934448725708787,79,70,260
37,8.313159417015097,69,70,260
38,5.5291762872022465,30,70,83
39,8.495207196527636,72,70,217
40,11.512002865838545,132,80,67
41,11.09125780676158,123,80,67
42,7.631101962137859,58,70,225
43,16.520387015330765,272,43,59
44,16.8857504463364,285,43,59
48,5.645136364041509,31,70,98
49,8.435369764767225,71,70,270
50,7.515679244454173,56,70,270
51,5.58204445189025,31,70,85
52,7.923707010372652,62,70,283
53,7.4863862367280145,56,70,283
55,7.561646918218213,57,70,97
56,4.982504415792603,24,21,271
57,4.787252018289456,22,21,271
59,4.338628595380737,18,21,202
60,10.953946958836092,119,57,165
61,10.354137289599489,107,57,165
62,7.908734596098642,62,70,183
63,10.660315636791308,113,57,184
64,10.424785545544168,108,57,184
68,4.331293332313685,18,30,157
69,10.129699449312838,102,57,201
70,10.204353363494167,104,57,201
71,5.2870987852392535,27,29,191
72,10.730980119730802,115,57,167
73,10.410051335355949,108,57,167
74,8.47508637330121,71,55,56
75,4.21002955800793,17,24,197
76,8.790079532425121,77,57,114
77,8.516648708654662,72,57,114
78,3.8859282334464647,15,24,275
79,19.880364497049513,395,43,36
80,19.91149814880858,396,43,36
82,5.074422492542046,25,29,226
83,8.85942106807556,78,57,142
84,8.569429681857207,73,57,142
85,4.203079720213136,17,29,196
86,9.232006058744433,85,57,172
87,8.904806688902601,79,57,172
92,9.574198674839408,91,55,22
93,4.1030177567320765,16,29,206
94,9.300967364587006,86,57,139
95,9.109037000116281,82,57,139
96,5.626945715418781,31,29,219
97,9.472226044741156,89,57,126
98,9.358441883538266,87,57,126
99,9.311672857330302,86,55,32
100,4.165446536254021,17,24,189
101,9.294784865787733,86,57,146
102,9.744240840035722,94,57,146
103,4.03148017920295,16,29,187
104,9.964978032663291,99,57,148
105,9.635521426916176,92,57,148
107,6.939583535299987,48,70,49
108,5.193526953204853,26,29,319
109,7.871206619377302,61,70,319
110,7.407170281124922,54,70,189
111,10.494229343727625,110,57,179
112,10.569467934658372,111,57,179
115,6.935709551498911,48,70,180
116,12.517334868781962,156,80,188
117,12.32045775847864,151,80,188
118,6.242778157239375,38,70,241
119,12.17091364145351,148,80,127
120,12.088388280132648,146,80,127
122,5.607900646275511,31,70,136
123,11.709032736689625,137,80,232
124,11.745574583451752,137,80,232
125,5.639587442222642,31,70,120
126,11.343484234563636,128,80,248
127,11.529714438869611,132,80,248
131,2.937302978523828,8,70,62
132,5.792809657025817,33,70,261
133,11.531813400725893,132,19,44
134,11.242650458486015,126,19,44
135,5.2809589701164565,27,70,306
136,4.52840695546933,20,70,81
137,6.1987261735851655,38,70,203
138,10.501429428064148,110,80,83
139,10.37679656213638,107,80,83
140,5.687260633891054,32,70,208
141,10.82998067612581,117,80,78
142,10.629149273780593,112,80,78
144,5.291029698383451,27,70,108
145,6.483497653903808,42,70,260
146,5.650862038154146,31,70,260
148,6.595713986430561,43,70,361
149,6.075168943608598,36,70,361
152,3.1312212420132592,9,26,34
153,3.385085407676806,11,26,258
154,10.56059676056935,111,80,75
155,10.675481947031358,113,80,75
156,6.307300055716841,39,70,334
157,2.8848063965342123,8,70,64
158,5.006108100870832,25,70,220
159,10.809444425927538,116,80,83
160,10.75748317724561,115,80,83
161,4.307905246466926,18,70,184
162,10.54739117228237,111,80,119
163,10.311126335395947,106,80,119
165,4.342790787963384,18,70,127
166,9.85703921590896,97,80,241
167,10.00005205479651,100,80,241
168,4.842985831059085,23,70,74
169,5.511216477386502,30,70,294
170,4.226599889980572,17,70,294
176,6.446133872620654,41,26,21
177,4.808176200875022,23,70,162
178,9.061523866686676,82,80,184
179,8.916186147987743,79,80,184
180,5.81689769227992,33,70,179
181,9.31044116977289,86,80,167
182,8.834107682806694,78,80,167
184,5.300750994699867,28,26,364
185,5.622785490506083,31,34,364
187,4.769807968910868,22,29,150
188,9.768043252427908,95,57,218
189,6.507113801961501,42,26,218
190,7.923119104543579,62,70,182
191,9.979215417140814,99,57,186
192,6.32695354373575,40,26,186
195,7.166302345579416,51,70,125
196,7.000320907247067,49,29,243
197,7.235134950049118,52,29,243
198,6.303319670818121,39,70,369
200,5.691456383550253,32,70,122
201,11.931688886242968,142,80,246
202,11.614435111612654,134,80,246
203,5.054607320084265,25,70,110
204,6.410373680281209,41,70,258
205,6.90942545192809,47,70,258
209,3.5824461438763433,12,70,159
210,10.28903555846547,105,80,209
211,10.373897114582798,107,80,209
212,4.169833174420496,17,70,123
213,9.724256506905936,94,80,245
214,9.62188674781467,92,80,245
217,3.7825529778499867,14,70,147
218,9.06174689862724,82,80,95
219,9.638258336968416,92,80,213
220,4.937911658667946,24,70,74
221,3.4073164387252537,11,70,286
222,4.10789747480603,16,70,286
224,7.42939803166645,55,70,363
225,7.742346856165947,59,70,199
226,10.431658860020052,108,57,163
227,10.7551791567367,115,57,163
230,6.945023015994359,48,70,113
231,12.515688798176816,156,80,255
232,12.713702919569707,161,80,255
233,6.339696075325779,40,70,154
234,12.458710840524912,155,80,214
235,12.13885284305557,147,80,214
237,5.361715659099455,28,70,137
238,11.443954113314883,130,80,231
239,11.450433356146847,131,80,231
240,4.282764766175428,18,70,96
241,5.907019552858518,34,70,272
242,5.431318815326643,29,70,272
247,3.7230750000465505,13,70,67
248,4.359093268520901,19,70,301
249,4.346086700608039,18,70,301
250,3.521126476693151,12,70,189
251,10.001462889025845,100,80,179
252,9.922387906137606,98,80,179
254,4.43455084131059,19,70,81
255,3.2058244755916068,10,70,65
256,9.42472818136081,88,80,221
257,9.269105737402665,85,80,221
258,3.3177031234574947,11,70,73
259,6.297785152055077,39,70,185
260,8.735717182887564,76,80,173
261,8.385317171937448,70,80,173
264,13.534573597432669,183,102,30
265,6.049561150367418,36,70,188
266,8.476300767192285,71,80,139
267,8.456644155049077,71,80,139
268,6.46157383281631,41,70,176
269,8.263066096047243,68,80,151
270,8.240422995159541,67,80,151
271,7.162313586298473,51,70,51
272,5.736595917449973,32,70,307
273,5.968614751767051,35,70,307
276,5.48870124058874,30,70,205
277,8.977382298368594,80,80,144
278,9.167926978287234,84,80,144
279,5.959150385792453,35,70,182
280,8.939731865100306,79,80,167
281,9.154994709649994,83,80,167
282,5.741269461935419,32,70,56
283,4.69404841912942,22,70,302
284,4.700504028430075,22,70,302
288,6.656727541109844,44,26,15
289,4.659018459190316,21,70,179
290,9.015046224062367,81,80,163
291,8.812773804143466,77,80,163
292,5.340032438612145,28,70,186
293,8.722361290974955,76,80,156
294,8.522407219859417,72,80,156
295,5.251026017769249,27,70,71
297,6.232078614266659,38,70,50
298,4.362183317084106,19,70,308
299,4.952419091250901,24,70,308
301,4.057360174291913,16,70,159
302,9.150667496038519,83,80,190
303,9.324058185505251,86,80,190
304,4.846430803301093,23,70,177
305,9.446335313095071,89,80,172
306,9.516736651213407,90,80,172
309,6.664077458945012,44,26,32
310,4.031772477839565,16,70,326
311,4.43569509394602,19,70,326
313,3.6817995693039762,13,70,362
314,4.0681840789738875,16,70,362
316,3.873086136781358,15,70,145
317,10.30624223275158,106,80,213
318,10.436254374021978,108,80,213
320,8.419212088260437,70,70,350
321,8.499923793108447,72,70,270
322,8.81067307340366,77,57,79
323,9.214694250954114,84,57,79
330,4.655419798991902,21,70,359
331,4.935631128934774,24,70,359
333,5.637201475233396,31,70,40
334,4.87833061339892,23,70,318
335,4.029010039352952,16,70,318
336,7.146840376459682,51,26,24
337,5.547054521772825,30,70,334
338,5.563432489671233,30,70,289
342,5.786796011481984,33,70,358
343,6.181388855581555,38,70,358
344,5.998960764414794,35,70,163
345,11.863981227000252,140,80,205
346,12.060617415166362,145,80,205
348,6.656239287914062,44,70,159
349,12.381742800266604,153,80,207
350,12.336251047085184,152,80,207
351,6.173875481379919,38,70,118
352,11.526945822225416,132,80,240
353,11.942715650759311,142,80,240
357,5.286214535121487,27,70,72
358,5.592494682657879,31,70,286
359,6.155536341698282,37,70,286
360,6.682897373521353,44,70,95
361,7.406468501067861,54,70,263
362,7.866945478701053,61,70,263
364,7.1018606352601,50,70,100
365,8.754990120168571,76,70,258
366,8.291877823311154,68,70,258
367,9.639373919829747,92,70,69
368,5.564716619899662,30,29,289
369,5.419615770952333,29,34,289
372,9.84225024352982,96,70,65
373,4.491720966795205,20,34,293
374,4.045515188105554,16,34,293
375,6.566333884688123,43,45,87
376,3.5142737167662377,12,17,271
377,4.418044227852951,19,34,271
379,7.398544619599217,54,45,87
380,3.4631786178949246,11,34,271
381,3.764141104775759,14,34,271
382,10.35742281399986,107,70,81
383,3.6111625513066588,13,23,273
384,4.98021620359005,24,34,273
389,9.659921878552886,93,70,44
390,5.502368804127424,30,34,307
391,3.8219779011548054,14,23,307
393,5.011147183688509,25,34,350
394,5.585726417950463,31,34,350
396,8.826194668903717,77,70,28
397,9.15136338641151,83,70,320
398,5.0931811125839195,25,23,320
399,8.876725684922842,78,70,63
400,5.6498800822338024,31,34,293
401,9.13979893585699,83,70,293
404,11.37082043851752,129,55,15
405,8.709422374084916,75,70,333
406,8.784750178394779,77,70,333
408,8.578855144475671,73,70,350
409,8.634023637943491,74,70,350
