Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
9,5.998276234399963,35,264,23
10,5.550917835167525,30,52,345
11,7.064726593264459,49,100,345
12,5.030564856327704,25,49,369
14,3.7411999585814373,13,146,166
15,7.863027099344534,61,100,202
16,6.745380966019645,45,100,202
17,4.552681577997516,20,184,64
18,5.46697090712419,29,64,268
19,3.4423240686851826,11,57,35
20,2.7149222692402084,7,57,35
21,6.65342134006617,44,100,253
22,5.394026842532734,29,54,50
23,4.314366545917398,18,50,50
26,3.959741064958297,15,131,125
27,8.007500066980898,64,156,243
28,6.961195069765786,48,156,243
29,5.527733019445878,30,264,13
30,4.541176916426265,20,106,235
31,6.275925654153479,39,100,119
32,6.660074261177847,44,100,119
33,7.0131931924104345,49,100,355
35,5.120521689172837,26,239,108
36,7.574760930247385,57,143,260
37,7.372768023633213,54,143,260
38,3.4416300622693057,11,172,83
39,4.432308039136773,19,58,217
40,3.0848152350708453,9,36,67
41,6.00115264431353,36,100,67
42,5.080444836467357,25,65,225
43,7.464106633843873,55,100,59
44,6.463672918467522,41,100,59
48,4.272631015477816,18,169,98
49,6.500361472271534,42,100,270
50,6.470731478920873,41,100,270
51,4.969365193871933,24,172,85
52,6.802399215528086,46,100,283
53,6.992365065679017,48,100,283
55,6.023637056709166,36,169,97
56,7.728220315411014,59,141,271
57,7.70678367151685,59,141,271
59,7.373420747167399,54,175,202
60,5.561946746934879,30,76,165
61,4.851000498070975,23,76,165
62,6.046982190157108,36,165,183
63,4.337613136533361,18,62,184
64,3.1779718278112656,10,62,184
68,4.273261712863546,18,165,157
69,5.4833358383319375,30,62,201
70,8.694557066560217,75,155,201
71,5.935359779692288,35,127,191
72,5.076037275192651,25,76,167
73,4.584943824593291,21,76,167
74,3.6914122039549864,13,74,56
75,4.0453511012615735,16,115,197
76,3.3263302791884106,11,43,114
77,2.286869500173419,5,43,114
78,8.066680394238151,65,155,275
79,3.018077289976522,9,49,36
80,2.9293943111796037,8,53,36
82,5.140777191731105,26,135,226
83,5.257206416610949,27,81,142
84,4.961155880410718,24,81,142
85,8.053144898461658,64,196,196
86,6.0771889575497795,36,96,172
87,5.264101508398848,27,96,172
92,3.784937330763927,14,165,22
93,5.731346980189897,32,135,206
94,5.381288612838426,28,113,139
95,3.441580406175195,11,64,139
96,5.306012152586345,28,131,219
97,3.4558300004479627,11,58,126
98,3.5901928537630337,12,81,126
99,5.395737440527308,29,209,32
100,5.1580681976007465,26,135,189
101,5.227934653133386,27,76,146
102,4.151347725692716,17,76,146
103,5.8759073473975025,34,127,187
104,2.6977585875895684,7,76,148
105,4.048400310454969,16,76,148
107,5.131155317232798,26,209,49
108,5.296052563258038,28,84,319
109,2.952517975332205,8,22,319
110,6.496609217479374,42,165,189
111,8.89267599062526,79,173,179
112,9.606589392854515,92,212,179
115,2.547777123727955,6,42,180
116,4.498165385638117,20,62,188
117,5.0762926893924485,25,62,188
118,2.6614912240304145,7,42,241
119,6.532149200443457,42,117,127
120,6.048076171141585,36,117,127
122,6.2341158396904435,38,240,136
123,5.636463435156053,31,156,232
124,4.819014225886058,23,156,232
125,6.786113316103424,46,240,120
126,6.738135376952878,45,156,248
127,6.259851862193527,39,156,248
131,4.277669991227796,18,189,62
132,4.681493671037794,21,65,261
133,3.5144930020818514,12,46,44
134,2.9740905836879667,8,46,44
135,4.044257006414313,16,65,306
136,3.732075599071396,13,172,81
137,4.767976004991954,22,75,203
138,4.870478938749234,23,89,83
139,3.209939535001209,10,39,83
140,4.332197772764829,18,74,208
141,5.398354693625067,29,100,78
142,5.071256346944294,25,89,78
144,3.7077927510673407,13,122,108
145,7.320899738634344,53,143,260
146,5.912932144855795,34,92,260
148,3.0195196737654286,9,38,361
149,5.286485686422767,27,94,361
152,4.689751234784904,21,264,34
153,4.3821331769142695,19,68,258
