Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
9,1000000,1000000,11,23
10,1000000,1000000,11,345
11,1000000,1000000,11,345
12,1000000,1000000,11,369
14,1000000,1000000,11,166
15,1000000,1000000,11,202
16,1000000,1000000,11,202
17,1000000,1000000,11,64
18,1000000,1000000,11,268
19,1000000,1000000,11,35
20,1000000,1000000,11,35
21,1000000,1000000,11,253
22,1000000,1000000,11,50
23,1000000,1000000,11,50
26,1000000,1000000,11,125
27,1000000,1000000,11,243
28,1000000,1000000,11,243
29,1000000,1000000,11,13
30,1000000,1000000,11,235
31,1000000,1000000,11,119
32,1000000,1000000,11,119
33,1000000,1000000,11,355
35,1000000,1000000,11,108
36,1000000,1000000,11,260
37,1000000,1000000,11,260
38,1000000,1000000,11,83
39,1000000,1000000,11,217
40,1000000,1000000,11,67
41,1000000,1000000,11,67
42,1000000,1000000,11,225
43,1000000,1000000,11,59
44,1000000,1000000,11,59
48,1000000,1000000,11,98
49,1000000,1000000,11,270
50,1000000,1000000,11,270
51,1000000,1000000,11,85
52,1000000,1000000,11,283
53,1000000,1000000,11,283
55,1000000,1000000,11,97
56,1000000,1000000,11,271
57,1000000,1000000,11,271
59,1000000,1000000,11,202
60,1000000,1000000,11,165
61,1000000,1000000,11,165
62,1000000,1000000,11,183
63,1000000,1000000,11,184
64,1000000,1000000,11,184
68,1000000,1000000,11,157
69,1000000,1000000,11,201
70,1000000,1000000,11,201
71,1000000,1000000,11,191
72,1000000,1000000,11,167
73,1000000,1000000,11,167
74,1000000,1000000,11,56
75,1000000,1000000,11,197
76,1000000,1000000,11,114
77,1000000,1000000,11,114
78,1000000,1000000,11,275
79,1000000,1000000,11,36
80,1000000,1000000,11,36
82,1000000,1000000,11,226
83,1000000,1000000,11,142
84,1000000,1000000,11,142
85,1000000,1000000,11,196
86,1000000,1000000,11,172
87,1000000,1000000,11,172
92,1000000,1000000,11,22
93,1000000,1000000,11,206
94,1000000,1000000,11,139
95,1000000,1000000,11,139
96,1000000,1000000,11,219
97,1000000,1000000,11,126
98,1000000,1000000,11,126
99,1000000,1000000,11,32
100,1000000,1000000,11,189
101,1000000,1000000,11,146
102,1000000,1000000,11,146
103,1000000,1000000,11,187
104,1000000,1000000,11,148
